region,latitude,longitude,available_for_hire_taxis,avg_rain_mm,total_taxi_records_from_api,taxi_api_timestamp,rain_api_timestamp,collection_time
Other,1.28,103.76,162,0.0,2004,2026-06-17T00:30:00+08:00,2026-06-17T00:30:00+08:00,2026-06-17T00:30:00
West,1.35,103.7,150,0.0,2004,2026-06-17T00:30:00+08:00,2026-06-17T00:30:00+08:00,2026-06-17T00:30:00
Central,1.3,103.83,686,0.0,2048,2026-06-17T00:35:00+08:00,2026-06-17T00:35:00+08:00,2026-06-17T00:35:00
East,1.35,103.95,561,0.0,2048,2026-06-17T00:35:00+08:00,2026-06-17T00:35:00+08:00,2026-06-17T00:35:00
North,1.42,103.82,238,0.0,2048,2026-06-17T00:35:00+08:00,2026-06-17T00:35:00+08:00,2026-06-17T00:35:00
Northeast,1.37,103.88,229,0.0,2048,2026-06-17T00:35:00+08:00,2026-06-17T00:35:00+08:00,2026-06-17T00:35:00
Other,1.28,103.76,185,0.0,2048,2026-06-17T00:35:00+08:00,2026-06-17T00:35:00+08:00,2026-06-17T00:35:00
West,1.35,103.7,149,0.0,2048,2026-06-17T00:35:00+08:00,2026-06-17T00:35:00+08:00,2026-06-17T00:35:00
Central,1.3,103.83,686,0.0,2004,2026-06-17T00:40:00+08:00,2026-06-17T00:40:00+08:00,2026-06-17T00:40:00
East,1.35,103.95,534,0.0,2004,2026-06-17T00:40:00+08:00,2026-06-17T00:40:00+08:00,2026-06-17T00:40:00
North,1.42,103.82,240,0.0,2004,2026-06-17T00:40:00+08:00,2026-06-17T00:40:00+08:00,2026-06-17T00:40:00
Northeast,1.37,103.88,224,0.0,2004,2026-06-17T00:40:00+08:00,2026-06-17T00:40:00+08:00,2026-06-17T00:40:00
Other,1.28,103.76,172,0.0,2004,2026-06-17T00:40:00+08:00,2026-06-17T00:40:00+08:00,2026-06-17T00:40:00
West,1.35,103.7,148,0.0,2004,2026-06-17T00:40:00+08:00,2026-06-17T00:40:00+08:00,2026-06-17T00:40:00
Central,1.3,103.83,736,0.0,2094,2026-06-17T00:45:00+08:00,2026-06-17T00:45:00+08:00,2026-06-17T00:45:00
East,1.35,103.95,553,0.0,2094,2026-06-17T00:45:00+08:00,2026-06-17T00:45:00+08:00,2026-06-17T00:45:00
North,1.42,103.82,239,0.0,2094,2026-06-17T00:45:00+08:00,2026-06-17T00:45:00+08:00,2026-06-17T00:45:00
Northeast,1.37,103.88,230,0.0,2094,2026-06-17T00:45:00+08:00,2026-06-17T00:45:00+08:00,2026-06-17T00:45:00
Other,1.28,103.76,166,0.0,2094,2026-06-17T00:45:00+08:00,2026-06-17T00:45:00+08:00,2026-06-17T00:45:00
West,1.35,103.7,170,0.0,2094,2026-06-17T00:45:00+08:00,2026-06-17T00:45:00+08:00,2026-06-17T00:45:00
Central,1.3,103.83,670,0.0,2031,2026-06-17T00:50:00+08:00,2026-06-17T00:50:00+08:00,2026-06-17T00:50:00
East,1.35,103.95,534,0.0,2031,2026-06-17T00:50:00+08:00,2026-06-17T00:50:00+08:00,2026-06-17T00:50:00
