region,latitude,longitude,available_for_hire_taxis,avg_rain_mm,total_taxi_records_from_api,taxi_api_timestamp,rain_api_timestamp,collection_time
North,1.42,103.82,268,0.0,2004,2026-06-19T05:15:00+08:00,2026-06-19T05:15:00+08:00,2026-06-19T05:15:00
Northeast,1.37,103.88,233,0.0,2004,2026-06-19T05:15:00+08:00,2026-06-19T05:15:00+08:00,2026-06-19T05:15:00
Other,1.28,103.76,156,0.0,2004,2026-06-19T05:15:00+08:00,2026-06-19T05:15:00+08:00,2026-06-19T05:15:00
West,1.35,103.7,168,0.0,2004,2026-06-19T05:15:00+08:00,2026-06-19T05:15:00+08:00,2026-06-19T05:15:00
Central,1.3,103.83,609,0.0,1885,2026-06-19T05:20:00+08:00,2026-06-19T05:20:00+08:00,2026-06-19T05:20:00
East,1.35,103.95,498,0.0,1885,2026-06-19T05:20:00+08:00,2026-06-19T05:20:00+08:00,2026-06-19T05:20:00
North,1.42,103.82,255,0.0,1885,2026-06-19T05:20:00+08:00,2026-06-19T05:20:00+08:00,2026-06-19T05:20:00
Northeast,1.37,103.88,205,0.0,1885,2026-06-19T05:20:00+08:00,2026-06-19T05:20:00+08:00,2026-06-19T05:20:00
Other,1.28,103.76,140,0.0,1885,2026-06-19T05:20:00+08:00,2026-06-19T05:20:00+08:00,2026-06-19T05:20:00
West,1.35,103.7,178,0.0,1885,2026-06-19T05:20:00+08:00,2026-06-19T05:20:00+08:00,2026-06-19T05:20:00
Central,1.3,103.83,623,0.0,1924,2026-06-19T05:25:00+08:00,2026-06-19T05:25:00+08:00,2026-06-19T05:25:00
East,1.35,103.95,496,0.0,1924,2026-06-19T05:25:00+08:00,2026-06-19T05:25:00+08:00,2026-06-19T05:25:00
North,1.42,103.82,245,0.0,1924,2026-06-19T05:25:00+08:00,2026-06-19T05:25:00+08:00,2026-06-19T05:25:00
Northeast,1.37,103.88,206,0.0,1924,2026-06-19T05:25:00+08:00,2026-06-19T05:25:00+08:00,2026-06-19T05:25:00
Other,1.28,103.76,160,0.0,1924,2026-06-19T05:25:00+08:00,2026-06-19T05:25:00+08:00,2026-06-19T05:25:00
West,1.35,103.7,194,0.0,1924,2026-06-19T05:25:00+08:00,2026-06-19T05:25:00+08:00,2026-06-19T05:25:00
Central,1.3,103.83,596,0.0,1851,2026-06-19T05:30:00+08:00,2026-06-19T05:30:00+08:00,2026-06-19T05:30:00
East,1.35,103.95,501,0.0,1851,2026-06-19T05:30:00+08:00,2026-06-19T05:30:00+08:00,2026-06-19T05:30:00
North,1.42,103.82,224,0.0,1851,2026-06-19T05:30:00+08:00,2026-06-19T05:30:00+08:00,2026-06-19T05:30:00
Northeast,1.37,103.88,190,0.0,1851,2026-06-19T05:30:00+08:00,2026-06-19T05:30:00+08:00,2026-06-19T05:30:00
Other,1.28,103.76,145,0.0,1851,2026-06-19T05:30:00+08:00,2026-06-19T05:30:00+08:00,2026-06-19T05:30:00
West,1.35,103.7,195,0.0,1851,2026-06-19T05:30:00+08:00,2026-06-19T05:30:00+08:00,2026-06-19T05:30:00
Central,1.3,103.83,613,0.0,1897,2026-06-19T05:35:00+08:00,2026-06-19T05:35:00+08:00,2026-06-19T05:35:00
East,1.35,103.95,531,0.0,1897,2026-06-19T05:35:00+08:00,2026-06-19T05:35:00+08:00,2026-06-19T05:35:00
North,1.42,103.82,240,0.0,1897,2026-06-19T05:35:00+08:00,2026-06-19T05:35:00+08:00,2026-06-19T05:35:00
Northeast,1.37,103.88,193,0.0,1897,2026-06-19T05:35:00+08:00,2026-06-19T05:35:00+08:00,2026-06-19T05:35:00
Other,1.28,103.76,147,0.0,1897,2026-06-19T05:35:00+08:00,2026-06-19T05:35:00+08:00,2026-06-19T05:35:00
West,1.35,103.7,173,0.0,1897,2026-06-19T05:35:00+08:00,2026-06-19T05:35:00+08:00,2026-06-19T05:35:00
Central,1.3,103.83,605,0.0,1853,2026-06-19T05:40:00+08:00,2026-06-19T05:40:00+08:00,2026-06-19T05:40:00
East,1.35,103.95,536,0.0,1853,2026-06-19T05:40:00+08:00,2026-06-19T05:40:00+08:00,2026-06-19T05:40:00
North,1.42,103.82,209,0.0,1853,2026-06-19T05:40:00+08:00,2026-06-19T05:40:00+08:00,2026-06-19T05:40:00
Northeast,1.37,103.88,205,0.0,1853,2026-06-19T05:40:00+08:00,2026-06-19T05:40:00+08:00,2026-06-19T05:40:00
Other,1.28,103.76,135,0.0,1853,2026-06-19T05:40:00+08:00,2026-06-19T05:40:00+08:00,2026-06-19T05:40:00
West,1.35,103.7,163,0.0,1853,2026-06-19T05:40:00+08:00,2026-06-19T05:40:00+08:00,2026-06-19T05:40:00
Central,1.3,103.83,626,0.0,1918,2026-06-19T05:45:00+08:00,2026-06-19T05:45:00+08:00,2026-06-19T05:45:00
East,1.35,103.95,575,0.0,1918,2026-06-19T05:45:00+08:00,2026-06-19T05:45:00+08:00,2026-06-19T05:45:00
North,1.42,103.82,223,0.0,1918,2026-06-19T05:45:00+08:00,2026-06-19T05:45:00+08:00,2026-06-19T05:45:00
Northeast,1.37,103.88,207,0.0,1918,2026-06-19T05:45:00+08:00,2026-06-19T05:45:00+08:00,2026-06-19T05:45:00
Other,1.28,103.76,119,0.0,1918,2026-06-19T05:45:00+08:00,2026-06-19T05:45:00+08:00,2026-06-19T05:45:00
West,1.35,103.7,168,0.0,1918,2026-06-19T05:45:00+08:00,2026-06-19T05:45:00+08:00,2026-06-19T05:45:00
Central,1.3,103.83,632,0.0,1952,2026-06-19T05:50:00+08:00,2026-06-19T05:50:00+08:00,2026-06-19T05:50:00
East,1.35,103.95,592,0.0,1952,2026-06-19T05:50:00+08:00,2026-06-19T05:50:00+08:00,2026-06-19T05:50:00
North,1.42,103.82,213,0.0,1952,2026-06-19T05:50:00+08:00,2026-06-19T05:50:00+08:00,2026-06-19T05:50:00
Northeast,1.37,103.88,233,0.0,1952,2026-06-19T05:50:00+08:00,2026-06-19T05:50:00+08:00,2026-06-19T05:50:00
Other,1.28,103.76,121,0.0,1952,2026-06-19T05:50:00+08:00,2026-06-19T05:50:00+08:00,2026-06-19T05:50:00
West,1.35,103.7,161,0.0,1952,2026-06-19T05:50:00+08:00,2026-06-19T05:50:00+08:00,2026-06-19T05:50:00
Central,1.3,103.83,657,0.0,2062,2026-06-19T05:55:00+08:00,2026-06-19T05:55:00+08:00,2026-06-19T05:55:00
East,1.35,103.95,622,0.0,2062,2026-06-19T05:55:00+08:00,2026-06-19T05:55:00+08:00,2026-06-19T05:55:00
North,1.42,103.82,221,0.0,2062,2026-06-19T05:55:00+08:00,2026-06-19T05:55:00+08:00,2026-06-19T05:55:00
Northeast,1.37,103.88,247,0.0,2062,2026-06-19T05:55:00+08:00,2026-06-19T05:55:00+08:00,2026-06-19T05:55:00
Other,1.28,103.76,125,0.0,2062,2026-06-19T05:55:00+08:00,2026-06-19T05:55:00+08:00,2026-06-19T05:55:00
West,1.35,103.7,190,0.0,2062,2026-06-19T05:55:00+08:00,2026-06-19T05:55:00+08:00,2026-06-19T05:55:00
Central,1.3,103.83,631,0.0,2021,2026-06-19T06:00:00+08:00,2026-06-19T06:00:00+08:00,2026-06-19T06:00:00
East,1.35,103.95,603,0.0,2021,2026-06-19T06:00:00+08:00,2026-06-19T06:00:00+08:00,2026-06-19T06:00:00
North,1.42,103.82,227,0.0,2021,2026-06-19T06:00:00+08:00,2026-06-19T06:00:00+08:00,2026-06-19T06:00:00
Northeast,1.37,103.88,254,0.0,2021,2026-06-19T06:00:00+08:00,2026-06-19T06:00:00+08:00,2026-06-19T06:00:00
Other,1.28,103.76,127,0.0,2021,2026-06-19T06:00:00+08:00,2026-06-19T06:00:00+08:00,2026-06-19T06:00:00
West,1.35,103.7,179,0.0,2021,2026-06-19T06:00:00+08:00,2026-06-19T06:00:00+08:00,2026-06-19T06:00:00
Central,1.3,103.83,634,0.0,2176,2026-06-19T06:05:00+08:00,2026-06-19T06:05:00+08:00,2026-06-19T06:05:00
East,1.35,103.95,665,0.0,2176,2026-06-19T06:05:00+08:00,2026-06-19T06:05:00+08:00,2026-06-19T06:05:00
North,1.42,103.82,251,0.0,2176,2026-06-19T06:05:00+08:00,2026-06-19T06:05:00+08:00,2026-06-19T06:05:00
Northeast,1.37,103.88,292,0.0,2176,2026-06-19T06:05:00+08:00,2026-06-19T06:05:00+08:00,2026-06-19T06:05:00
Other,1.28,103.76,137,0.0,2176,2026-06-19T06:05:00+08:00,2026-06-19T06:05:00+08:00,2026-06-19T06:05:00
West,1.35,103.7,197,0.0,2176,2026-06-19T06:05:00+08:00,2026-06-19T06:05:00+08:00,2026-06-19T06:05:00
Central,1.3,103.83,642,0.0,2121,2026-06-19T06:10:00+08:00,2026-06-19T06:10:00+08:00,2026-06-19T06:10:00
East,1.35,103.95,647,0.0,2121,2026-06-19T06:10:00+08:00,2026-06-19T06:10:00+08:00,2026-06-19T06:10:00
North,1.42,103.82,230,0.0,2121,2026-06-19T06:10:00+08:00,2026-06-19T06:10:00+08:00,2026-06-19T06:10:00
Northeast,1.37,103.88,287,0.0,2121,2026-06-19T06:10:00+08:00,2026-06-19T06:10:00+08:00,2026-06-19T06:10:00
Other,1.28,103.76,120,0.0,2121,2026-06-19T06:10:00+08:00,2026-06-19T06:10:00+08:00,2026-06-19T06:10:00
West,1.35,103.7,195,0.0,2121,2026-06-19T06:10:00+08:00,2026-06-19T06:10:00+08:00,2026-06-19T06:10:00
Central,1.3,103.83,658,0.0,2168,2026-06-19T06:15:00+08:00,2026-06-19T06:15:00+08:00,2026-06-19T06:15:00
East,1.35,103.95,642,0.0,2168,2026-06-19T06:15:00+08:00,2026-06-19T06:15:00+08:00,2026-06-19T06:15:00
North,1.42,103.82,243,0.0,2168,2026-06-19T06:15:00+08:00,2026-06-19T06:15:00+08:00,2026-06-19T06:15:00
Northeast,1.37,103.88,300,0.0,2168,2026-06-19T06:15:00+08:00,2026-06-19T06:15:00+08:00,2026-06-19T06:15:00
Other,1.28,103.76,127,0.0,2168,2026-06-19T06:15:00+08:00,2026-06-19T06:15:00+08:00,2026-06-19T06:15:00
West,1.35,103.7,198,0.0,2168,2026-06-19T06:15:00+08:00,2026-06-19T06:15:00+08:00,2026-06-19T06:15:00
Central,1.3,103.83,672,0.0,2212,2026-06-19T06:20:00+08:00,2026-06-19T06:20:00+08:00,2026-06-19T06:20:00
East,1.35,103.95,634,0.0,2212,2026-06-19T06:20:00+08:00,2026-06-19T06:20:00+08:00,2026-06-19T06:20:00
North,1.42,103.82,261,0.0,2212,2026-06-19T06:20:00+08:00,2026-06-19T06:20:00+08:00,2026-06-19T06:20:00
Northeast,1.37,103.88,299,0.0,2212,2026-06-19T06:20:00+08:00,2026-06-19T06:20:00+08:00,2026-06-19T06:20:00
Other,1.28,103.76,117,0.0,2212,2026-06-19T06:20:00+08:00,2026-06-19T06:20:00+08:00,2026-06-19T06:20:00
West,1.35,103.7,229,0.0,2212,2026-06-19T06:20:00+08:00,2026-06-19T06:20:00+08:00,2026-06-19T06:20:00
Central,1.3,103.83,690,0.0,2264,2026-06-19T06:25:00+08:00,2026-06-19T06:25:00+08:00,2026-06-19T06:25:00
East,1.35,103.95,685,0.0,2264,2026-06-19T06:25:00+08:00,2026-06-19T06:25:00+08:00,2026-06-19T06:25:00
North,1.42,103.82,259,0.0,2264,2026-06-19T06:25:00+08:00,2026-06-19T06:25:00+08:00,2026-06-19T06:25:00
Northeast,1.37,103.88,278,0.0,2264,2026-06-19T06:25:00+08:00,2026-06-19T06:25:00+08:00,2026-06-19T06:25:00
Other,1.28,103.76,120,0.0,2264,2026-06-19T06:25:00+08:00,2026-06-19T06:25:00+08:00,2026-06-19T06:25:00
West,1.35,103.7,232,0.0,2264,2026-06-19T06:25:00+08:00,2026-06-19T06:25:00+08:00,2026-06-19T06:25:00
Central,1.3,103.83,687,0.0,2241,2026-06-19T06:30:00+08:00,2026-06-19T06:30:00+08:00,2026-06-19T06:30:00
East,1.35,103.95,665,0.0,2241,2026-06-19T06:30:00+08:00,2026-06-19T06:30:00+08:00,2026-06-19T06:30:00
North,1.42,103.82,256,0.0,2241,2026-06-19T06:30:00+08:00,2026-06-19T06:30:00+08:00,2026-06-19T06:30:00
Northeast,1.37,103.88,296,0.0,2241,2026-06-19T06:30:00+08:00,2026-06-19T06:30:00+08:00,2026-06-19T06:30:00
Other,1.28,103.76,116,0.0,2241,2026-06-19T06:30:00+08:00,2026-06-19T06:30:00+08:00,2026-06-19T06:30:00
West,1.35,103.7,221,0.0,2241,2026-06-19T06:30:00+08:00,2026-06-19T06:30:00+08:00,2026-06-19T06:30:00
Central,1.3,103.83,777,0.0,2344,2026-06-19T06:35:00+08:00,2026-06-19T06:35:00+08:00,2026-06-19T06:35:00
East,1.35,103.95,696,0.0,2344,2026-06-19T06:35:00+08:00,2026-06-19T06:35:00+08:00,2026-06-19T06:35:00
North,1.42,103.82,275,0.0,2344,2026-06-19T06:35:00+08:00,2026-06-19T06:35:00+08:00,2026-06-19T06:35:00
Northeast,1.37,103.88,261,0.0,2344,2026-06-19T06:35:00+08:00,2026-06-19T06:35:00+08:00,2026-06-19T06:35:00
Other,1.28,103.76,119,0.0,2344,2026-06-19T06:35:00+08:00,2026-06-19T06:35:00+08:00,2026-06-19T06:35:00
West,1.35,103.7,216,0.0,2344,2026-06-19T06:35:00+08:00,2026-06-19T06:35:00+08:00,2026-06-19T06:35:00
Central,1.3,103.83,808,0.0,2361,2026-06-19T06:40:00+08:00,2026-06-19T06:40:00+08:00,2026-06-19T06:40:00
East,1.35,103.95,673,0.0,2361,2026-06-19T06:40:00+08:00,2026-06-19T06:40:00+08:00,2026-06-19T06:40:00
North,1.42,103.82,268,0.0,2361,2026-06-19T06:40:00+08:00,2026-06-19T06:40:00+08:00,2026-06-19T06:40:00
Northeast,1.37,103.88,259,0.0,2361,2026-06-19T06:40:00+08:00,2026-06-19T06:40:00+08:00,2026-06-19T06:40:00
Other,1.28,103.76,119,0.0,2361,2026-06-19T06:40:00+08:00,2026-06-19T06:40:00+08:00,2026-06-19T06:40:00
West,1.35,103.7,234,0.0,2361,2026-06-19T06:40:00+08:00,2026-06-19T06:40:00+08:00,2026-06-19T06:40:00
Central,1.3,103.83,860,0.0,2438,2026-06-19T06:45:00+08:00,2026-06-19T06:45:00+08:00,2026-06-19T06:45:00
East,1.35,103.95,730,0.0,2438,2026-06-19T06:45:00+08:00,2026-06-19T06:45:00+08:00,2026-06-19T06:45:00
North,1.42,103.82,264,0.0,2438,2026-06-19T06:45:00+08:00,2026-06-19T06:45:00+08:00,2026-06-19T06:45:00
Northeast,1.37,103.88,254,0.0,2438,2026-06-19T06:45:00+08:00,2026-06-19T06:45:00+08:00,2026-06-19T06:45:00
Other,1.28,103.76,115,0.0,2438,2026-06-19T06:45:00+08:00,2026-06-19T06:45:00+08:00,2026-06-19T06:45:00
West,1.35,103.7,215,0.0,2438,2026-06-19T06:45:00+08:00,2026-06-19T06:45:00+08:00,2026-06-19T06:45:00
Central,1.3,103.83,920,0.0,2529,2026-06-19T06:50:00+08:00,2026-06-19T06:50:00+08:00,2026-06-19T06:50:00
East,1.35,103.95,701,0.0,2529,2026-06-19T06:50:00+08:00,2026-06-19T06:50:00+08:00,2026-06-19T06:50:00
North,1.42,103.82,285,0.0,2529,2026-06-19T06:50:00+08:00,2026-06-19T06:50:00+08:00,2026-06-19T06:50:00
Northeast,1.37,103.88,247,0.0,2529,2026-06-19T06:50:00+08:00,2026-06-19T06:50:00+08:00,2026-06-19T06:50:00
Other,1.28,103.76,150,0.0,2529,2026-06-19T06:50:00+08:00,2026-06-19T06:50:00+08:00,2026-06-19T06:50:00
West,1.35,103.7,226,0.0,2529,2026-06-19T06:50:00+08:00,2026-06-19T06:50:00+08:00,2026-06-19T06:50:00
Central,1.3,103.83,1018,0.0,2661,2026-06-19T06:55:00+08:00,2026-06-19T06:55:00+08:00,2026-06-19T06:55:00
East,1.35,103.95,727,0.0,2661,2026-06-19T06:55:00+08:00,2026-06-19T06:55:00+08:00,2026-06-19T06:55:00
North,1.42,103.82,285,0.0,2661,2026-06-19T06:55:00+08:00,2026-06-19T06:55:00+08:00,2026-06-19T06:55:00
Northeast,1.37,103.88,268,0.0,2661,2026-06-19T06:55:00+08:00,2026-06-19T06:55:00+08:00,2026-06-19T06:55:00
Other,1.28,103.76,122,0.0,2661,2026-06-19T06:55:00+08:00,2026-06-19T06:55:00+08:00,2026-06-19T06:55:00
West,1.35,103.7,241,0.0,2661,2026-06-19T06:55:00+08:00,2026-06-19T06:55:00+08:00,2026-06-19T06:55:00
Central,1.3,103.83,1012,0.0,2694,2026-06-19T07:00:00+08:00,2026-06-19T07:00:00+08:00,2026-06-19T07:00:00
East,1.35,103.95,765,0.0,2694,2026-06-19T07:00:00+08:00,2026-06-19T07:00:00+08:00,2026-06-19T07:00:00
North,1.42,103.82,291,0.0,2694,2026-06-19T07:00:00+08:00,2026-06-19T07:00:00+08:00,2026-06-19T07:00:00
Northeast,1.37,103.88,262,0.0,2694,2026-06-19T07:00:00+08:00,2026-06-19T07:00:00+08:00,2026-06-19T07:00:00
Other,1.28,103.76,126,0.0,2694,2026-06-19T07:00:00+08:00,2026-06-19T07:00:00+08:00,2026-06-19T07:00:00
West,1.35,103.7,238,0.0,2694,2026-06-19T07:00:00+08:00,2026-06-19T07:00:00+08:00,2026-06-19T07:00:00
Central,1.3,103.83,1059,0.0,2725,2026-06-19T07:05:00+08:00,2026-06-19T07:05:00+08:00,2026-06-19T07:05:00
East,1.35,103.95,734,0.0,2725,2026-06-19T07:05:00+08:00,2026-06-19T07:05:00+08:00,2026-06-19T07:05:00
North,1.42,103.82,300,0.0,2725,2026-06-19T07:05:00+08:00,2026-06-19T07:05:00+08:00,2026-06-19T07:05:00
Northeast,1.37,103.88,272,0.0,2725,2026-06-19T07:05:00+08:00,2026-06-19T07:05:00+08:00,2026-06-19T07:05:00
Other,1.28,103.76,138,0.0,2725,2026-06-19T07:05:00+08:00,2026-06-19T07:05:00+08:00,2026-06-19T07:05:00
West,1.35,103.7,222,0.0,2725,2026-06-19T07:05:00+08:00,2026-06-19T07:05:00+08:00,2026-06-19T07:05:00
Central,1.3,103.83,1096,0.0,2797,2026-06-19T07:10:00+08:00,2026-06-19T07:10:00+08:00,2026-06-19T07:10:00
East,1.35,103.95,755,0.0,2797,2026-06-19T07:10:00+08:00,2026-06-19T07:10:00+08:00,2026-06-19T07:10:00
North,1.42,103.82,288,0.0,2797,2026-06-19T07:10:00+08:00,2026-06-19T07:10:00+08:00,2026-06-19T07:10:00
Northeast,1.37,103.88,267,0.0,2797,2026-06-19T07:10:00+08:00,2026-06-19T07:10:00+08:00,2026-06-19T07:10:00
Other,1.28,103.76,144,0.0,2797,2026-06-19T07:10:00+08:00,2026-06-19T07:10:00+08:00,2026-06-19T07:10:00
West,1.35,103.7,247,0.0,2797,2026-06-19T07:10:00+08:00,2026-06-19T07:10:00+08:00,2026-06-19T07:10:00
Central,1.3,103.83,1062,0.0,2674,2026-06-19T07:15:00+08:00,2026-06-19T07:15:00+08:00,2026-06-19T07:15:00
East,1.35,103.95,722,0.0,2674,2026-06-19T07:15:00+08:00,2026-06-19T07:15:00+08:00,2026-06-19T07:15:00
North,1.42,103.82,269,0.0,2674,2026-06-19T07:15:00+08:00,2026-06-19T07:15:00+08:00,2026-06-19T07:15:00
Northeast,1.37,103.88,259,0.0,2674,2026-06-19T07:15:00+08:00,2026-06-19T07:15:00+08:00,2026-06-19T07:15:00
Other,1.28,103.76,131,0.0,2674,2026-06-19T07:15:00+08:00,2026-06-19T07:15:00+08:00,2026-06-19T07:15:00
West,1.35,103.7,231,0.0,2674,2026-06-19T07:15:00+08:00,2026-06-19T07:15:00+08:00,2026-06-19T07:15:00
Central,1.3,103.83,1003,0.0,2578,2026-06-19T07:20:00+08:00,2026-06-19T07:20:00+08:00,2026-06-19T07:20:00
East,1.35,103.95,717,0.0,2578,2026-06-19T07:20:00+08:00,2026-06-19T07:20:00+08:00,2026-06-19T07:20:00
North,1.42,103.82,271,0.0,2578,2026-06-19T07:20:00+08:00,2026-06-19T07:20:00+08:00,2026-06-19T07:20:00
Northeast,1.37,103.88,243,0.0,2578,2026-06-19T07:20:00+08:00,2026-06-19T07:20:00+08:00,2026-06-19T07:20:00
Other,1.28,103.76,134,0.0,2578,2026-06-19T07:20:00+08:00,2026-06-19T07:20:00+08:00,2026-06-19T07:20:00
West,1.35,103.7,210,0.0,2578,2026-06-19T07:20:00+08:00,2026-06-19T07:20:00+08:00,2026-06-19T07:20:00
Central,1.3,103.83,979,0.0,2510,2026-06-19T07:25:00+08:00,2026-06-19T07:25:00+08:00,2026-06-19T07:25:00
East,1.35,103.95,681,0.0,2510,2026-06-19T07:25:00+08:00,2026-06-19T07:25:00+08:00,2026-06-19T07:25:00
North,1.42,103.82,250,0.0,2510,2026-06-19T07:25:00+08:00,2026-06-19T07:25:00+08:00,2026-06-19T07:25:00
Northeast,1.37,103.88,234,0.0,2510,2026-06-19T07:25:00+08:00,2026-06-19T07:25:00+08:00,2026-06-19T07:25:00
Other,1.28,103.76,131,0.0,2510,2026-06-19T07:25:00+08:00,2026-06-19T07:25:00+08:00,2026-06-19T07:25:00
West,1.35,103.7,235,0.0,2510,2026-06-19T07:25:00+08:00,2026-06-19T07:25:00+08:00,2026-06-19T07:25:00
Central,1.3,103.83,930,0.0,2359,2026-06-19T07:30:00+08:00,2026-06-19T07:30:00+08:00,2026-06-19T07:30:00
East,1.35,103.95,631,0.0,2359,2026-06-19T07:30:00+08:00,2026-06-19T07:30:00+08:00,2026-06-19T07:30:00
North,1.42,103.82,249,0.0,2359,2026-06-19T07:30:00+08:00,2026-06-19T07:30:00+08:00,2026-06-19T07:30:00
Northeast,1.37,103.88,203,0.0,2359,2026-06-19T07:30:00+08:00,2026-06-19T07:30:00+08:00,2026-06-19T07:30:00
Other,1.28,103.76,132,0.0,2359,2026-06-19T07:30:00+08:00,2026-06-19T07:30:00+08:00,2026-06-19T07:30:00
West,1.35,103.7,214,0.0,2359,2026-06-19T07:30:00+08:00,2026-06-19T07:30:00+08:00,2026-06-19T07:30:00
Central,1.3,103.83,938,0.0,2269,2026-06-19T07:35:00+08:00,2026-06-19T07:35:00+08:00,2026-06-19T07:35:00
East,1.35,103.95,601,0.0,2269,2026-06-19T07:35:00+08:00,2026-06-19T07:35:00+08:00,2026-06-19T07:35:00
North,1.42,103.82,218,0.0,2269,2026-06-19T07:35:00+08:00,2026-06-19T07:35:00+08:00,2026-06-19T07:35:00
Northeast,1.37,103.88,184,0.0,2269,2026-06-19T07:35:00+08:00,2026-06-19T07:35:00+08:00,2026-06-19T07:35:00
Other,1.28,103.76,128,0.0,2269,2026-06-19T07:35:00+08:00,2026-06-19T07:35:00+08:00,2026-06-19T07:35:00
West,1.35,103.7,200,0.0,2269,2026-06-19T07:35:00+08:00,2026-06-19T07:35:00+08:00,2026-06-19T07:35:00
Central,1.3,103.83,938,0.0,2240,2026-06-19T07:40:00+08:00,2026-06-19T07:40:00+08:00,2026-06-19T07:40:00
East,1.35,103.95,586,0.0,2240,2026-06-19T07:40:00+08:00,2026-06-19T07:40:00+08:00,2026-06-19T07:40:00
North,1.42,103.82,200,0.0,2240,2026-06-19T07:40:00+08:00,2026-06-19T07:40:00+08:00,2026-06-19T07:40:00
Northeast,1.37,103.88,180,0.0,2240,2026-06-19T07:40:00+08:00,2026-06-19T07:40:00+08:00,2026-06-19T07:40:00
Other,1.28,103.76,124,0.0,2240,2026-06-19T07:40:00+08:00,2026-06-19T07:40:00+08:00,2026-06-19T07:40:00
West,1.35,103.7,212,0.0,2240,2026-06-19T07:40:00+08:00,2026-06-19T07:40:00+08:00,2026-06-19T07:40:00
Central,1.3,103.83,942,0.0,2196,2026-06-19T07:45:00+08:00,2026-06-19T07:45:00+08:00,2026-06-19T07:45:00
East,1.35,103.95,529,0.0,2196,2026-06-19T07:45:00+08:00,2026-06-19T07:45:00+08:00,2026-06-19T07:45:00
North,1.42,103.82,211,0.0,2196,2026-06-19T07:45:00+08:00,2026-06-19T07:45:00+08:00,2026-06-19T07:45:00
Northeast,1.37,103.88,173,0.0,2196,2026-06-19T07:45:00+08:00,2026-06-19T07:45:00+08:00,2026-06-19T07:45:00
Other,1.28,103.76,140,0.0,2196,2026-06-19T07:45:00+08:00,2026-06-19T07:45:00+08:00,2026-06-19T07:45:00
West,1.35,103.7,201,0.0,2196,2026-06-19T07:45:00+08:00,2026-06-19T07:45:00+08:00,2026-06-19T07:45:00
Central,1.3,103.83,920,0.0,2129,2026-06-19T07:50:00+08:00,2026-06-19T07:50:00+08:00,2026-06-19T07:50:00
East,1.35,103.95,532,0.0,2129,2026-06-19T07:50:00+08:00,2026-06-19T07:50:00+08:00,2026-06-19T07:50:00
North,1.42,103.82,179,0.0,2129,2026-06-19T07:50:00+08:00,2026-06-19T07:50:00+08:00,2026-06-19T07:50:00
Northeast,1.37,103.88,164,0.0,2129,2026-06-19T07:50:00+08:00,2026-06-19T07:50:00+08:00,2026-06-19T07:50:00
Other,1.28,103.76,124,0.0,2129,2026-06-19T07:50:00+08:00,2026-06-19T07:50:00+08:00,2026-06-19T07:50:00
West,1.35,103.7,210,0.0,2129,2026-06-19T07:50:00+08:00,2026-06-19T07:50:00+08:00,2026-06-19T07:50:00
Central,1.3,103.83,890,0.0,2134,2026-06-19T07:55:00+08:00,2026-06-19T07:55:00+08:00,2026-06-19T07:55:00
East,1.35,103.95,529,0.0,2134,2026-06-19T07:55:00+08:00,2026-06-19T07:55:00+08:00,2026-06-19T07:55:00
North,1.42,103.82,195,0.0,2134,2026-06-19T07:55:00+08:00,2026-06-19T07:55:00+08:00,2026-06-19T07:55:00
Northeast,1.37,103.88,170,0.0,2134,2026-06-19T07:55:00+08:00,2026-06-19T07:55:00+08:00,2026-06-19T07:55:00
Other,1.28,103.76,126,0.0,2134,2026-06-19T07:55:00+08:00,2026-06-19T07:55:00+08:00,2026-06-19T07:55:00
West,1.35,103.7,224,0.0,2134,2026-06-19T07:55:00+08:00,2026-06-19T07:55:00+08:00,2026-06-19T07:55:00
Central,1.3,103.83,888,0.0,2094,2026-06-19T08:00:00+08:00,2026-06-19T08:00:00+08:00,2026-06-19T08:00:00
East,1.35,103.95,522,0.0,2094,2026-06-19T08:00:00+08:00,2026-06-19T08:00:00+08:00,2026-06-19T08:00:00
North,1.42,103.82,189,0.0,2094,2026-06-19T08:00:00+08:00,2026-06-19T08:00:00+08:00,2026-06-19T08:00:00
Northeast,1.37,103.88,153,0.0,2094,2026-06-19T08:00:00+08:00,2026-06-19T08:00:00+08:00,2026-06-19T08:00:00
Other,1.28,103.76,141,0.0,2094,2026-06-19T08:00:00+08:00,2026-06-19T08:00:00+08:00,2026-06-19T08:00:00
West,1.35,103.7,201,0.0,2094,2026-06-19T08:00:00+08:00,2026-06-19T08:00:00+08:00,2026-06-19T08:00:00
Central,1.3,103.83,951,0.0,2196,2026-06-19T08:05:00+08:00,2026-06-19T08:05:00+08:00,2026-06-19T08:05:00
East,1.35,103.95,527,0.0,2196,2026-06-19T08:05:00+08:00,2026-06-19T08:05:00+08:00,2026-06-19T08:05:00
North,1.42,103.82,208,0.0,2196,2026-06-19T08:05:00+08:00,2026-06-19T08:05:00+08:00,2026-06-19T08:05:00
Northeast,1.37,103.88,144,0.0,2196,2026-06-19T08:05:00+08:00,2026-06-19T08:05:00+08:00,2026-06-19T08:05:00
Other,1.28,103.76,137,0.0,2196,2026-06-19T08:05:00+08:00,2026-06-19T08:05:00+08:00,2026-06-19T08:05:00
West,1.35,103.7,229,0.0,2196,2026-06-19T08:05:00+08:00,2026-06-19T08:05:00+08:00,2026-06-19T08:05:00
